,hybride,Benzine,Elektriciteit,Diesel,LPG,CNG,Alcohol,LNG,Waterstof
2025,151250,60578,41521,17575,891,58,45,45,12
2024,203988,91620,55625,30566,1459,78,47,206,13
2023,91467,229739,26546,22501,1686,115,112,0,71
2022,96676,168861,27957,17936,1950,88,110,0,31
2021,118454,152609,36680,15007,1774,84,86,0,16
2020,82768,59005,37427,173584,4685,448,52,1,26
2019,3240,29894,11343,395618,8957,1525,52,0,8
2018,6669,48842,22283,361002,7184,1215,127,18,27
2017,15947,141985,10844,245740,3530,232,126,37,20
2016,105271,113637,39266,124295,2342,315,97,17,19
2015,117248,234861,37681,58649,3230,402,120,5,41
