,Wegvoertuigen,Personenauto,Personenauto.1,Personenauto.2,Personenauto.3,Personenauto.4,Personenauto.5,Personenauto.6,Personenauto.7
0,Brandstofsoort voertuig,Benzine,Diesel,Full elektric (BEV),Totaal hybrides,Milde hybride (MEV),Hybrid Electric Vehicle (HEV),Plug-in Hybrid Electric Vehicle (PHEV),Overig/onbekend hybride
2,2007 1e kwartaal,112582,46063,2,389,0,387,0,2
4,2007 3e kwartaal,84536,33827,3,1045,0,1045,0,0
5,2007 4e kwartaal,60500,26774,1,517,0,515,0,2
6,2008 1e kwartaal,113363,44837,1,2584,0,2578,0,6
7,2008 2e kwartaal,98256,31952,0,3354,0,3345,0,9
8,2008 3e kwartaal,85167,29321,1,4123,0,4116,0,7
9,2008 4e kwartaal,55692,19886,5,1776,0,1772,0,4
10,2009 1e kwartaal,88701,29709,12,4392,0,4390,0,2
11,2009 2e kwartaal,70845,20358,17,4264,0,4263,0,1
12,2009 3e kwartaal,71548,16843,8,5312,0,5310,0,2
13,2009 4e kwartaal,56925,11422,31,2321,0,2320,0,1
14,2010 1e kwartaal,115339,23943,55,5099,0,5097,0,2
15,2010 2e kwartaal,99517,20647,21,4377,0,4371,3,3
16,2010 3e kwartaal,87808,27334,12,4224,0,4203,16,5
17,2010 4e kwartaal,61390,26751,34,2412,0,2403,2,7
18,2011 1e kwartaal,124888,48611,103,5291,0,5284,4,3
19,2011 2e kwartaal,98821,43600,183,3790,0,3775,14,1
20,2011 3e kwartaal,83154,36478,168,3522,0,3506,12,4
21,2011 4e kwartaal,67948,28145,407,2269,0,2246,6,17
22,2012 1e kwartaal,111999,45375,299,5536,0,4955,17,564
23,2012 2e kwartaal,105611,48281,193,6298,0,5361,7,930
24,2012 3e kwartaal,62647,24033,161,8000,2,6612,614,772
25,2012 4e kwartaal,43113,25118,175,5674,0,4217,579,878
26,2013 1e kwartaal,82642,23697,117,7484,1,6140,765,578
27,2013 2e kwartaal,64541,24328,238,6107,1,5307,518,281
28,2013 3e kwartaal,57509,24239,401,7761,0,5035,1835,891
29,2013 4e kwartaal,59894,31293,1863,21974,0,6847,13834,1293
30,2014 1e kwartaal,77716,21565,484,6674,0,3852,2703,119
31,2014 2e kwartaal,59119,22799,558,8278,0,3466,4689,123
32,2014 3e kwartaal,53257,25057,694,5078,0,3013,1965,100
33,2014 4e kwartaal,58600,35593,1175,6697,5,4146,2476,70
34,2015 1e kwartaal,79117,22070,1012,7209,156,2305,4665,83
35,2015 2e kwartaal,60086,23206,667,7413,281,1649,5407,76
36,2015 3e kwartaal,61103,28160,703,9467,232,3466,5685,84
37,2015 4e kwartaal,58357,56332,811,32130,286,7549,24006,289
38,2016 1e kwartaal,78625,15406,1048,3014,113,1734,1157,10
39,2016 2e kwartaal,72127,18635,762,3808,19,2175,1609,5
40,2016 3e kwartaal,66463,17958,976,5391,42,2937,2401,11
41,2016 4e kwartaal,57512,20356,1202,17703,106,4187,13396,14
42,2017 1e kwartaal,92382,19814,1667,5455,467,4650,332,6
43,2017 2e kwartaal,78880,20034,1606,5016,489,4249,272,6
44,2017 3e kwartaal,71145,17811,1972,5209,402,4523,277,7
45,2017 4e kwartaal,68469,14606,2713,5052,458,4321,271,2
46,2018 1e kwartaal,102817,21099,3927,7136,860,5577,697,2
47,2018 2e kwartaal,90501,14803,4018,7503,523,6326,633,21
48,2018 3e kwartaal,81464,12642,5162,6437,598,4873,945,21
49,2018 4e kwartaal,59618,8452,10878,5097,284,3930,875,8
50,2019 1e kwartaal,87931,10572,8614,8079,1276,5084,1718,1
51,2019 2e kwartaal,83698,8629,8572,9075,1503,6446,1125,1
52,2019 3e kwartaal,76549,7309,12624,8346,1624,5729,988,5
53,2019 4e kwartaal,68096,6175,31737,8241,1239,5928,1073,1
54,2020 1e kwartaal,73959,5461,8672,14818,4058,7468,3285,7
55,2020 2e kwartaal,36930,2635,5785,9204,3243,3629,2328,4
56,2020 3e kwartaal,53862,3177,14328,18062,7283,6338,4431,10
57,2020 4e kwartaal,40257,1690,44074,20390,8188,7341,4846,15
58,2021 1e kwartaal,46604,2161,4540,26863,12926,6249,7677,11
59,2021 2e kwartaal,40423,2395,11606,27147,11701,7128,8302,16
60,2021 3e kwartaal,32440,1468,13694,24836,9969,7344,7511,12
61,2021 4e kwartaal,27354,896,33818,23683,8979,7064,7624,16
62,2022 1e kwartaal*,32494,1434,12420,31419,12651,8676,10065,27
63,2022 2e kwartaal*,29301,1534,17079,26772,9826,8176,8750,20
64,2022 3e kwartaal*,27989,875,16808,24929,9916,7382,7611,20
65,2022 4e kwartaal*,29617,795,26943,29270,10339,10619,8304,8
66,2023 1e kwartaal*,35644,1129,25113,35555,12458,9494,13598,5
67,2023 2e kwartaal*,30880,1253,32827,37155,13531,10481,13137,6
68,2023 3e kwartaal*,24297,797,27018,33381,11935,10038,11400,8
69,2023 4e kwartaal*,21395,787,29010,30986,11798,10215,8964,9
70,2024 1e kwartaal*,26302,944,30057,43690,15532,13869,14282,7
71,2024 2e kwartaal*,19272,1364,30220,40222,14079,12774,13358,11
72,2024 3e kwartaal*,16919,842,29943,36729,13093,12031,11600,5
73,2024 4e kwartaal*,20742,615,41947,39532,12391,13611,13527,3
74,2025 1e kwartaal*,15029,989,32395,42693,14511,12206,15964,12
75,2025 2e kwartaal*,12353,1567,31482,45600,12599,13217,19716,68
